"","SN","TN","CN","tgtsize","hand_theta","hand_theta_maxv","hand_theta_maxradv","handMaxRadExt","hand_theta_50","raw_ep_hand_ang","ti","fbi","ri","MT","RT","ST","radvelmax","maxRadDist","testMaxRadDist"
"112",1,16,4,8.30174059827877,-73.0484515924801,-66.2948594057785,-73.0484515924801,NA,-90.6660445020884,136.95154840752,210,0,75,0.117653000999994,0.499063259999971,1.35475204399995,764.827382796602,NA,72.9436119882813
"113",1,17,4,8.30174059827877,-92.4124138416446,-89.7829197104735,-92.4124138416446,-88.6041693300955,-51.3029933358111,-122.412413841645,330,0,75,0.103343601999995,0.517325045999968,1.28262930399995,3062.78942452375,87.222773018101,87.222773018101
"114",1,18,4,8.30174059827877,-89.387356293846,-89.387356293846,-89.387356293846,-90.9828507454561,-40.5234875072212,-29.387356293846,60,0,75,0.679342728000009,0.635134702000016,1.20289742299995,6066.21248683477,99.851318100211,99.851318100211
"115",1,19,4,8.30174059827877,-80.5815497311304,-90.3083780394588,-81.6714077210025,-81.9500663504447,142.640030541278,159.41845026887,240,0,75,1.05198677400001,0.53988374399998,1.29212716400001,1438.53687997803,80.2666611319388,80.2666611319388
"116",1,20,4,8.30174059827877,-76.6198136117765,-84.7646982117239,-76.6198136117765,-73.6238724877512,-44.7304329316408,-46.6198136117765,30,0,75,0.121793051000012,0.462691446999955,1.31544829799999,3275.75783133599,95.0997213878777,95.0997213878777
"117",1,21,5,8.30174059827877,-61.6934772176709,-58.2710169242249,-61.6934772176709,-61.1294278709874,157.904076586392,118.306522782329,180,0,75,0.105418811000021,0.578164949000069,1.38541546799996,5187.33258208772,88.1261907321416,88.1261907321416
"118",1,22,5,8.30174059827877,-97.1649094719364,-90.2445987297392,-97.1649094719364,NA,-15.5468711035424,52.8350905280636,150,0,75,0.164913479000006,0.531992091999996,1.16538542600006,478.014503584571,NA,64.8602598343538
"119",1,23,5,8.30174059827877,-63.9831286171445,-62.3578416344777,-111.478559149504,-61.6420913556798,-65.6141977601874,-63.9831286171445,0,0,75,0.0982991719999688,0.508757025000023,2.41611549999999,8749.91168809127,95.4130198975402,95.4130198975402
"120",1,24,5,8.30174059827877,-66.3494206418876,-64.8513162352048,-66.3494206418876,NA,-168.655476984714,23.6505793581125,90,0,75,0.115633264999985,0.549094141999973,1.02671286900002,1748.21020147466,NA,79.8297215889773
"121",1,25,5,8.30174059827877,-86.9108738641816,-79.5270597600869,-86.9108738641816,-83.968263699308,-29.6149186954854,63.0891261358184,150,0,75,1.39286584100006,0.639377365000001,0.894906950999911,1636.33534865744,81.6722802988133,81.6722802988133
