SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist
1,11,3,8.30174059827877,-52.8671105517311,-52.8671105517311,-52.8671105517311,-63.8726685723205,-57.4206565359404,-22.8671105517311,30,0,75,0.649944892999997,0.524056958000031,1.51478062800004,9929.00081055131,130.053339537508,130.053339537508
1,12,3,8.30174059827877,-101.62553113591,-94.3339795472262,-101.62553113591,-97.8923576424655,68.4170267814549,48.3744688640899,150,0,75,0.120655738999986,0.502962401999994,1.87268587299995,6009.09811416958,108.020790764421,108.020790764421
1,13,3,8.30174059827877,-68.3399976137164,-68.3399976137164,-68.3399976137164,-75.6869714740603,-121.241413047601,-128.339997613716,300,0,75,0.0775078309999913,0.547161317000018,1.18605342200006,5836.01820821432,113.158096374176,113.158096374176
1,14,3,8.30174059827877,-69.414617318284,-70.0894562424867,-69.414617318284,-67.5192429117465,79.1274608098029,-159.414617318284,270,0,75,0.0972060609999943,0.583981363000007,1.89223769900002,2514.00121370415,88.7709717522636,88.7709717522636
1,15,3,8.30174059827877,-76.3325359088687,-77.3875380267144,-76.3325359088687,-76.9078919500066,-97.5265909284545,43.6674640911313,120,0,75,0.105689262000013,0.419004401999956,1.20249263299999,5873.04285114787,138.898461354769,138.898461354769
1,16,4,8.30174059827877,-52.451181494974,-40.584009806305,-52.451181494974,-51.76111988625,-128.325650330427,157.548818505026,210,0,75,0.0792013150000059,0.601151383000001,1.32975548500002,1961.47236474635,90.0612592457575,90.0612592457575
1,17,4,8.30174059827877,-96.9566299079439,-105.269677614272,-96.9566299079439,-94.8207302389176,34.0147861699169,-126.956629907944,330,0,75,0.0642946939999973,0.660659315999993,1.29955978099999,6625.88382827166,102.031052384382,102.031052384382
1,18,4,8.30174059827877,-65.1292180302627,-69.1749293735833,-176.125972529819,-63.771953362776,30.8830941615756,-5.12921803026268,60,0,75,0.093911582000004,0.481000718000018,1.45859425300003,4846.06485708715,82.2562396565361,82.2562396565361
1,19,4,8.30174059827877,-82.1389797693133,-65.55052776227,-82.1389797693133,-80.953924647802,141.688693409306,157.861020230687,240,0,75,0.102028263000022,0.63832654700002,1.16145814400008,1608.2090364661,82.0577356344427,82.0577356344427
1,20,4,8.30174059827877,-60.6699615907686,-65.6353151883094,38.8015693774594,NaN,-59.1953718262622,-30.6699615907686,30,0,75,0.0920379710000248,0.456043066999996,1.19706574100007,4592.13743399166,NaN,75.7397118803572
