"TN","Hand_angle","Eye_angle","Avg_hand","Avg_eye","Day"
49,-95.1669590435256,24.5956299341162,-77.359760253579,-42.9640710279061,1
50,-102.163236801685,20.7816352156513,NA,NA,1
51,-61.9543328893511,-148.348378024468,NA,NA,1
52,-84.2657503334851,-15.4229094647797,NA,NA,1
53,-68.3000869643583,-129.776428960471,NA,NA,1
54,-52.1655839633414,-123.36464481265,NA,NA,1
55,-73.2770651257239,8.42297071963648,NA,NA,1
56,-75.67274624016,-77.1037586617564,NA,NA,1
57,-100.999520529358,-56.6471669704138,NA,NA,1
58,-110.277185610457,-66.680447272585,NA,NA,1
59,-57.8798946047864,26.530211634589,NA,NA,1
60,-46.1947609367158,21.444434328258,NA,NA,1
61,-79.364016825652,-90.6383067072403,-75.7603084491321,-24.2658948002986,1
62,-74.8325812261016,50.8502700868219,NA,NA,1
63,-69.7263359896777,14.1544345633894,NA,NA,1
64,-94.3622954612509,82.6222677543257,NA,NA,1
65,-82.6961544888701,-34.9517680023804,NA,NA,1
66,-71.0905069767317,-105.664901505511,NA,NA,1
67,-75.8275058279454,-146.661762069164,NA,NA,1
68,-80.2789294577023,2.8211608132432,NA,NA,1
69,-65.5201832289215,-170.601175578541,NA,NA,1
70,-86.7069235337834,165.458991639395,NA,NA,1
71,-46.0504210869222,11.56016196993,NA,NA,1
72,-82.6678472860268,-70.1401105678516,NA,NA,1
73,-50.9222111134211,179.009299790431,-70.078334561436,-18.5031076381095,1
74,-55.8976065911946,-154.222347753709,NA,NA,1
75,-89.808949845154,-6.75245427590917,NA,NA,1
76,-56.0000629420869,89.559073646304,NA,NA,1
77,-68.2263724451853,4.03536183526513,NA,NA,1
78,-79.4984822412405,-157.09247374381,NA,NA,1
79,-55.3684914724655,6.32797898272982,NA,NA,1
80,-59.5159747553688,-125.63919093474,NA,NA,1
81,-76.3224650449173,-7.02954659335251,NA,NA,1
82,-69.5498004290269,-17.6774559840346,NA,NA,1
83,-100.335616959065,-12.9269207765489,NA,NA,1
84,-79.4939808981066,-19.6286158499406,NA,NA,1
85,-71.4060580594624,161.472024883276,-74.4939247014093,-5.61539999173897,1
86,-84.0738954498413,100.69360305183,NA,NA,1
87,-62.9020191998024,7.17294358036219,NA,NA,1
88,-97.2919896982332,-13.079663252309,NA,NA,1
89,-86.2602250565647,-11.0452736636082,NA,NA,1
90,-109.298703442858,-71.5531260067681,NA,NA,1
91,-49.4476974721672,-6.31629223048265,NA,NA,1
92,-57.7287866877225,73.6474123480773,NA,NA,1
93,-68.5681337416252,-80.9689735734813,NA,NA,1
