"TN","Hand_angle","Eye_angle","Avg_hand","Avg_eye","RT","Eye_time","Day"
98,-98.4128655658829,-56.6278996015318,NA,NA,0.44216879599999,0,6
99,-69.4936695787702,0,NA,NA,0.461065474999998,0,6
100,-70.3476524297169,0,NA,NA,0.445262499999991,0,6
101,-80.664522978164,3.89609667385227,NA,NA,0.539484924999989,0.402125120162964,6
102,-81.5926154782412,0,NA,NA,0.645089824999943,0,6
103,-91.6519470124979,0,NA,NA,0.445710850000012,0,6
104,-94.3657570821834,0,NA,NA,0.433695557999982,0,6
105,-75.8218679828717,0,NA,NA,0.465816674999985,0,6
106,-70.9706225400836,0,NA,NA,0.433461488000006,0,6
107,-81.0392893266048,2.42368931579732,NA,NA,0.463640169999977,0.402124404907227,6
108,-79.6358719109273,0,NA,NA,0.49127121000005,0,6
109,-95.3996743674149,0,-81.7180115570883,-31.1236504623124,0.452989135999999,0,6
110,-68.4520323252656,0,NA,NA,0.531512531999979,0,6
111,-103.798122302198,0,NA,NA,0.432034544000004,0,6
112,-70.7713868668932,-126.895281303909,NA,NA,0.426791987000001,0.234571695327759,6
113,-92.807359008691,0,NA,NA,0.517981702000029,0,6
114,-70.4698348277474,2.0572893513052,NA,NA,0.438206922999996,0.33510422706604,6
115,-72.7796405651781,-160.48841628543,NA,NA,0.492382027999994,0.16755199432373,6
116,-70.5883761236487,0,NA,NA,0.477255234000012,0,6
117,-73.6146284787211,0,NA,NA,0.465746292000034,0,6
118,-99.160809220704,0,NA,NA,0.538717654999971,0,6
119,-78.2816691225639,0,NA,NA,0.469281165000041,0,6
120,-84.4926054760343,-88.1573973097152,NA,NA,0.518516070000004,0.402125358581543,6
121,-73.5756169059491,-69.8321217862198,-82.3182805232412,-28.5351424460264,0.445303764000016,0.134042024612427,6
122,-67.3401606039832,-2.27483499384021,NA,NA,0.419168297000027,0.402124643325806,6
123,-87.6898548669141,-78.3567468795297,NA,NA,0.505319313999962,0.502655744552612,6
124,-101.881278430629,0,NA,NA,0.495036785999986,0,6
125,-72.4608235958456,0,NA,NA,0.477309276000028,0,6
126,-57.5471050003268,-73.4596969839421,NA,NA,0.526763604999957,0.469146013259888,6
127,-107.1013981447,-12.6196700324676,NA,NA,0.437422027999958,0.435635089874268,6
128,-86.3892306578267,0,NA,NA,0.490990496999956,0,6
129,-70.7205157988757,0,NA,NA,0.569238526000049,0,6
130,-120.941799633245,0,NA,NA,0.636303594999987,0,6
131,-70.8956482138111,-105.878638676317,NA,NA,0.513483280999964,0.469144821166992,6
132,-71.2759344267878,0,NA,NA,0.469001465000019,0,6
133,-75.1150879190322,-73.2785033639173,-79.47971650587,-28.2258065551847,0.567130526999989,0,6
134,-67.0871070714761,0,NA,NA,0.556265213000017,0,6
135,-75.9720024934945,-179.283240577852,NA,NA,0.52936139800002,0.502655982971191,6
136,-62.6207075737793,63.5646212133631,NA,NA,0.486018462999994,0.402125120162964,6
137,-87.9973528810623,-69.9050978642159,NA,NA,0.50920633100003,0.435635089874268,6
138,-95.7665402376587,0,NA,NA,0.470526962999941,0,6
139,-107.62620630154,0,NA,NA,0.520455087999949,0,6
140,-59.9174592213885,0,NA,NA,0.470526800000044,0,6
141,-65.5796841430883,0,NA,NA,0.517913579000066,0,6
142,-99.6203913786595,0,NA,NA,0.446376622999964,0,6
143,-89.3475516646063,0,NA,NA,0.3985103280001,0,6
144,-67.1065071846538,-79.8074580695941,NA,NA,0.558166241999999,0,6
145,-98.6752911294708,0,-80.8498302864676,4.96625938499728,0.482117182000025,0,6
